player_id,player,first_name,last_name,display_last_comma_first,display_fi_last,birthdate,school,country,last_affiliation,height,weight_lbs,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,height_inches,seasons_player,bmi,timeframe,career_pts,career_ast,career_reb,career_pie,nba_stats_url,career_all_star_appearances
977,Kobe Bryant,Kobe,Bryant,"Bryant, Kobe",K. Bryant,8/23/78,Lower Merion HS (PA),USA,Lower Merion HS (PA)/USA,6-Jun,212,18,24,Guard,Active,1610612747,Lakers,LAL,lakers,Los Angeles,kobe_bryant,1996,2014,N,78,18,24.49638396,2014-15,27.5,4,5.1,0.123,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=977,NA
2544,LeBron James,LeBron,James,"James, LeBron",L. James,12/30/84,St. Vincent-St. Mary HS (OH),USA,St. Vincent-St. Mary HS (OH)/USA,8-Jun,250,11,23,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lebron_james,2003,2014,N,80,11,27.4609375,2014-15,25.9,6.8,6.6,0.159,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2544,NA
203076,Anthony Davis,Anthony,Davis,"Davis, Anthony",A. Davis,3/11/93,Kentucky,USA,Kentucky/USA,10-Jun,220,2,23,Forward-Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,anthony_davis,2012,2014,N,82,2,23.00118977,2014-15,25.5,2,11.4,0.214,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=203076,NA
201939,Stephen Curry,Stephen,Curry,"Curry, Stephen",S. Curry,3/14/88,Davidson,USA,Davidson/USA,3-Jun,190,5,30,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,stephen_curry,2009,2014,N,75,5,23.74577778,2014-15,24.8,7.7,5.5,0.191,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201939,NA
2546,Carmelo Anthony,Carmelo,Anthony,"Anthony, Carmelo",C. Anthony,5/29/84,Syracuse,USA,Syracuse/USA,8-Jun,240,11,7,Forward,Active,1610612752,Knicks,NYK,knicks,New York,carmelo_anthony,2003,2014,N,80,11,26.3625,2014-15,23.8,3.5,5.6,0.131,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2546,NA
201935,James Harden,James,Harden,"Harden, James",J. Harden,8/26/89,Arizona State,USA,Arizona State/USA,5-Jun,220,5,13,Guard,Active,1610612745,Rockets,HOU,rockets,Houston,james_harden,2009,2014,N,77,5,26.08534323,2014-15,23.8,6.9,6.3,0.184,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201935,NA
202691,Klay Thompson,Klay,Thompson,"Thompson, Klay",K. Thompson,2/8/90,Washington State,USA,Washington State/USA,7-Jun,215,3,11,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,klay_thompson,2011,2014,N,79,3,24.21807403,2014-15,23.6,3.3,3.2,0.147,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202691,NA
201933,Blake Griffin,Blake,Griffin,"Griffin, Blake",B. Griffin,3/16/89,Oklahoma,USA,Oklahoma/USA,10-Jun,251,4,32,Forward,Active,1610612746,Clippers,LAC,clippers,Los Angeles,blake_griffin,2009,2014,N,82,5,26.24226651,2014-15,22.8,3.5,7,0.114,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201933,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,"Cousins, DeMarcus",D. Cousins,8/13/90,Kentucky,USA,Kentucky/USA,11-Jun,270,4,15,Center,Active,1610612758,Kings,SAC,kings,Sacramento,demarcus_cousins,2010,2014,N,83,4,27.55262012,2014-15,22.5,1.7,11.6,0.192,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202326,NA
202681,Kyrie Irving,Kyrie,Irving,"Irving, Kyrie",K. Irving,3/23/92,Duke,Australia,Duke/Australia,3-Jun,193,3,2,Guard,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,kyrie_irving,2011,2014,N,75,3,24.12071111,2014-15,21.9,5,3.2,0.126,http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202681,NA
